agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,proposal_flag
cdc,T42OH008416,ASST_NON_T42OH008416_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,6999158.65,20664024.33,27663182.98,2025-05-20,2028-06-30,https://www.usaspending.gov/award/ASST_NON_T42OH008416_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=T42OH008416&arg_ProgOfficeCode=90,271489738,7614028.22,27663182.98,2028-06-30,2026-01-05,TRUE,TRUE,TRUE,614869.5699999994,1.08784906883058,1166726.3,440857.01,725869.29,1800000,1800000,0,41,49,,unitid:166027,F,TRUE,TRUE
cdc,U19OH008861,ASST_NON_U19OH008861_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,5865983.71,17807049.88,23673033.59,2025-05-20,2026-08-31,https://www.usaspending.gov/award/ASST_NON_U19OH008861_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U19OH008861&arg_ProgOfficeCode=90,271685407,5906788.36,23673033.59,2026-08-31,2026-03-05,TRUE,TRUE,TRUE,40804.65000000037,1.0069561478546964,905768.34,797315.7799999999,108452.56000000006,1399731,1399731,0,61,96,,unitid:166027,F,TRUE,TRUE
cdc,NU2HGH000007,ASST_NON_NU2HGH000007_075,The Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,53825918.24,9425344.76,63251263,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000007_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000007&arg_ProgOfficeCode=253,269017405,54559490.17,63251263,2026-09-29,2026-01-28,TRUE,TRUE,TRUE,733571.9299999997,1.0136286003840962,10024057.01,5409595.55,910413.86,8526800,6714300,812500,405,294,,unitid:162928,F,TRUE,TRUE
nih,3R01AG075818-04S1,ASST_NON_R01AG075818_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,841555.19,5570174.47,6411729.66,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01AG075818_7529,https://reporter.nih.gov/project-details/11124291,270136979,2049677.16,7060533,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,1208121.97,2.435582578963122,956158.92,502751.82000000007,178349.05000000002,1284306,104841,0,20,48,,unitid:170976,F,TRUE,TRUE
nih,3P50MD017348-04S1,ASST_NON_P50MD017348_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,13821522,5106035,18927557,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_P50MD017348_7529,https://reporter.nih.gov/project-details/10939514,270012663,17064379.05,24163298,2026-06-30,2025-08-20,TRUE,TRUE,TRUE,3242857.0500000007,1.2346237302954046,4626024.78,1900123.0200000003,1085106.6,5235741,5235741,0,15,47,,unitid:162928,F,TRUE,TRUE
nih,5R25MD007607-23,ASST_NON_R25MD007607_7529,University of Puerto Rico Medical Sciences,Puerto Rico,,,,,,2881047.68,4440396.32,7321444,2025-05-29,,https://www.usaspending.gov/award/ASST_NON_R25MD007607_7529,https://reporter.nih.gov/project-details/10831854,270335672,2837847.68,7373134,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,-43200,0.9850054546823744,389344.8999999999,276420.44999999995,0,585429.69,0,585429.69,72,46,,university of puerto rico medical sciences|puerto rico,F,TRUE,TRUE
nih,3U19AI089992-13S1,ASST_NON_U19AI089992_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,6871585.78,3972903.36,10844489.14,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_U19AI089992_7529,https://reporter.nih.gov/project-details/11163641,271684790,16616260.36,45502782.9,2028-04-30,2026-03-20,TRUE,TRUE,TRUE,9744674.579999998,2.4181114653857962,2303517.2399999998,1796776.15,506741.08999999997,2388688,0,0,62,97,,unitid:130794,F,TRUE,TRUE
cdc,NU2HGH000069,ASST_NON_NU2HGH000069_075,"The Ohio State University, the",Ohio,Ohio State University-Main Campus,Ohio,Columbus,Public,204796,9103233.55,3655677.45,12758911,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000069_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000069&arg_ProgOfficeCode=253,269017465,9103233.55,13922911,2026-09-29,2026-03-20,TRUE,TRUE,TRUE,0,1,646850.39,485107.10000000003,58356.94,3894000,2525000,1164000,103,123,,unitid:204796,F,TRUE,TRUE
nih,5R25GM064120-20,ASST_NON_R25GM064120_7529,University of Missouri-Columbia,Missouri,University of Missouri-Columbia,Missouri,Columbia,Public,178396,1273983.18,3443402.82,4717386,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM064120_7529,https://reporter.nih.gov/project-details/10782468,270334654,1273983.18,5094414,2029-01-31,2026-02-20,TRUE,TRUE,TRUE,0,1,121290.19999999995,0,0,377028,0,377028,29,45,,unitid:178396,F,TRUE,TRUE
nih,3UM1TR004360-02S2,ASST_NON_UM1TR004360_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,5861628,2509370,8370998,2025-05-15,,https://www.usaspending.gov/award/ASST_NON_UM1TR004360_7529,https://reporter.nih.gov/project-details/10929735,271712237,9483719.79,12325812,2030-04-30,2025-07-21,TRUE,TRUE,TRUE,3622091.789999999,1.617932729610272,3718230.83,3111625.4800000004,606605.3500000001,3954814,3954814,0,10,30,,unitid:234030,F,TRUE,TRUE
nih,3P01CA257904-03S1,ASST_NON_P01CA257904_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,7123918,2312831,9436749,2025-04-30,,https://www.usaspending.gov/award/ASST_NON_P01CA257904_7529,https://reporter.nih.gov/project-details/10973801,269407249,8959413.74,11596604,2027-01-31,2026-02-20,TRUE,TRUE,TRUE,1835495.7400000002,1.2576525642209806,1940657.8399999999,1526134.79,414523.05000000005,2159855,0,2159855,11,44,,unitid:215062,F,TRUE,TRUE
nih,3R01MD018204-03S2,ASST_NON_R01MD018204_7529,New York University School of Medicine,New York,New York University,New York,New York,Private not-for-profit,193900,4852526,2208855,7061381,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD018204_7529,https://reporter.nih.gov/project-details/10939423,270238557,5773032.07,7061381,2027-04-30,2025-08-06,TRUE,TRUE,TRUE,920506.0700000003,1.1896962674697673,1370877.52,688584.05,469612.43,1616079,0,0,14,46,,unitid:193900,F,TRUE,TRUE
nih,3R01DA050670-04S2,ASST_NON_R01DA050670_7529,Baylor University,Texas,Baylor University,Texas,Waco,Private not-for-profit,223232,1613425,2180559,3793984,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_R01DA050670_7529,https://reporter.nih.gov/project-details/11062619,270176422,3015330.56,3793984,2027-03-31,2026-01-20,TRUE,TRUE,TRUE,1401905.56,1.8689003579342083,1413108.5399999998,1160600.6099999999,252507.93,757751,0,0,13,45,,unitid:223232,F,TRUE,TRUE
nih,3UL1TR001857-09S1,ASST_NON_UL1TR001857_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,39371469,2090222,41461691,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_UL1TR001857_7529,https://reporter.nih.gov/project-details/10928374,271711804,46108897.97,128797340.31,2026-05-31,2025-12-19,TRUE,TRUE,TRUE,6737428.969999999,1.171124652981579,7296909.619999999,5106265.16,1579985.66,10147484,10147484,0,45,105,,unitid:215293,F,TRUE,TRUE
nih,3P30AI161943-04S1,ASST_NON_P30AI161943_7529,Baylor College of Medicine,Texas,,,,,,6245582.08,2036709.92,8282292,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_P30AI161943_7529,https://reporter.nih.gov/project-details/11047263,269956012,6200262.77,8282292,2027-03-31,2026-03-20,TRUE,TRUE,TRUE,-45319.31000000052,0.9927437812169462,729517.1000000001,464539.9700000001,199789.63999999998,1000000,0,0,82,480,,baylor college of medicine|texas,F,TRUE,TRUE
nih,3R01MD015729-04S1,ASST_NON_R01MD015729_7529,Boston College,Massachusetts,Boston College,Massachusetts,Chestnut Hill,Private not-for-profit,164924,1655847,1730923,3386770,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD015729_7529,https://reporter.nih.gov/project-details/10854270,270238390,2210767.39,3386770,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,554920.3900000001,1.3351278167608482,672209.6300000001,468879.0400000001,86041.78999999998,844037,0,0,10,48,,unitid:164924,F,TRUE,TRUE
cdc,NU3HCK000001,ASST_NON_NU3HCK000001_075,The Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,3132518.87,1655674.13,4788193,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU3HCK000001_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU3HCK000001&arg_ProgOfficeCode=252,269017890,3162974.31,4788193,2026-09-29,2026-03-20,TRUE,TRUE,TRUE,30455.439999999944,1.009722348456276,777458.69,503274.20999999996,83571.28,275000,275000,0,44,113,,unitid:162928,F,TRUE,TRUE
cdc,U48DP006785,ASST_NON_U48DP006785_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,489922.96,1496318.04,1986241,2025-05-20,2029-09-29,https://www.usaspending.gov/award/ASST_NON_U48DP006785_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U48DP006785&arg_ProgOfficeCode=120,271696179,513046.11,1986241,2029-09-29,2025-09-26,TRUE,TRUE,TRUE,23123.149999999965,1.047197522647234,183361.42,124259.37000000001,59102.05,1000000,1000000,0,6,15,,unitid:166027,F,TRUE,TRUE
nih,3R01MD015715-04S1,ASST_NON_R01MD015715_7529,Fordham University,New York,Fordham University,New York,Bronx,Private not-for-profit,191241,1735245,1460325,3195570,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD015715_7529,https://reporter.nih.gov/project-details/10939410,270238384,2100624.13,3195570,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,365379.1299999999,1.2105634247613448,434258.8500000001,233643.7200000001,19189.340000000004,848174,0,0,15,80,,unitid:191241,F,TRUE,TRUE
nih,3DP1MH132709-03S1,ASST_NON_DP1MH132709_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,3217024,1395140,4612164,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_DP1MH132709_7529,https://reporter.nih.gov/project-details/11085649,260415853,4132483.43,4612164,2027-05-31,2025-05-05,TRUE,TRUE,TRUE,915459.4300000002,1.2845671745066247,986941.95,474856.67999999993,256108.99000000002,1127000,0,0,9,48,,unitid:198419,F,TRUE,TRUE
nih,3R01AG058066-04S1,ASST_NON_R01AG058066_7529,Case Western Reserve University,Ohio,Case Western Reserve University,Ohio,Cleveland,Private not-for-profit,201645,3497825,1337631,4835456,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG058066_7529,https://reporter.nih.gov/project-details/11081365,270135176,4889049.8,6389146.1,2027-05-31,2025-07-21,TRUE,TRUE,TRUE,1391224.7999999998,1.39773996697948,1566015.7999999998,779558.8999999999,447676.98999999993,1545583,1545583,0,7,38,,unitid:201645,F,TRUE,TRUE
nih,3U01DA055357-03S1,ASST_NON_U01DA055357_7529,Virginia Polytechnic Institute and State University,Virginia,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,Public,233921,3632642,1335854,4968496,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_U01DA055357_7529,https://reporter.nih.gov/project-details/11037481,271675709,4759267.66,6605848,2026-06-30,2025-11-26,TRUE,TRUE,TRUE,1126625.6600000001,1.3101394687392813,1391806.9,1183285.54,0,1637352,1637352,0,19,95,,unitid:233921,F,TRUE,TRUE
nih,3R35ES030396-06S1,ASST_NON_R35ES030396_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,5244474,1298282,6542756,2025-04-28,,https://www.usaspending.gov/award/ASST_NON_R35ES030396_7529,https://reporter.nih.gov/project-details/11077157,270345308,3955204.46,6542756,2027-04-30,2025-12-05,TRUE,TRUE,TRUE,-1289269.54,0.7541660917758387,891474.0700000001,423720.89,341448.53,931280,0,0,15,49,,unitid:215293,F,TRUE,TRUE
nih,3U01MD019540-02S1,ASST_NON_U01MD019540_7529,University of Texas at Arlington,Texas,The University of Texas at Arlington,Texas,Arlington,Public,228769,504549,1210595,1715144,2025-03-31,,https://www.usaspending.gov/award/ASST_NON_U01MD019540_7529,https://reporter.nih.gov/project-details/11102627,271679925,982551.96,2473473,2028-05-31,2026-02-09,TRUE,TRUE,TRUE,478002.95999999996,1.9473865967428337,537292.3200000001,183540.15000000002,193464.67,758329,758329,0,9,24,,unitid:228769,F,TRUE,TRUE
nih,3P01AI125180-08S1,ASST_NON_P01AI125180_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,7048040,1161150,8209190,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_P01AI125180_7529,https://reporter.nih.gov/project-details/11106607,269406681,11683272.46,22833512.99,2027-04-30,2025-06-05,TRUE,TRUE,TRUE,4635232.460000001,1.6576626210974967,3125363.4400000004,1915483.8400000003,801539.59,2684918,0,0,19,73,,unitid:139658,F,TRUE,TRUE
nih,3R01NS123051-03S1,ASST_NON_R01NS123051_7529,University of Oklahoma,Oklahoma,University of Oklahoma-Norman Campus,Oklahoma,Norman,Public,207500,1506567,1150230,2656797,2025-04-24,,https://www.usaspending.gov/award/ASST_NON_R01NS123051_7529,https://reporter.nih.gov/project-details/10991761,270254843,2094803.18,2656797,2027-02-28,2025-12-19,TRUE,TRUE,TRUE,588236.1799999999,1.3904480716755379,734588.53,581723.9600000001,119379.3,579123,0,0,13,42,,unitid:207500,F,TRUE,TRUE
nih,3R01DA057789-02S1,ASST_NON_R01DA057789_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1039774,1149889,2189663,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_R01DA057789_7529,https://reporter.nih.gov/project-details/11086406,270176901,1197152.95,2189663,2028-02-29,2026-03-20,TRUE,TRUE,TRUE,157378.94999999995,1.1513588048941403,158318.93999999994,158318.93999999994,0,60476,0,0,8,27,,unitid:130794,F,TRUE,TRUE
nih,3R01MH126083-04S1,ASST_NON_R01MH126083_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,1991231,1071364,3062595,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH126083_7529,https://reporter.nih.gov/project-details/11218705,270244185,2522015.96,3906474,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,530784.96,1.266561217658825,741745.3999999999,461273.61,190996.17,843879,113064,730815,13,43,,unitid:139658,F,TRUE,TRUE
nih,3R01DC020459-03S1,ASST_NON_R01DC020459_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1763213,1069336,2832549,2025-05-22,,https://www.usaspending.gov/award/ASST_NON_R01DC020459_7529,https://reporter.nih.gov/project-details/10952149,270179958,2126966.73,2832549,2027-05-31,2025-06-05,TRUE,TRUE,TRUE,363753.73,1.2063016379756728,373985.75,260702.94000000003,72349.15,559197,0,0,10,64,,unitid:215293,F,TRUE,TRUE
nih,3R01DA059234-02S1,ASST_NON_R01DA059234_7529,University of Colorado,Colorado,University of Colorado Boulder,Colorado,Boulder,Public,126614,502434,1064278,1566712,2025-04-04,,https://www.usaspending.gov/award/ASST_NON_R01DA059234_7529,https://reporter.nih.gov/project-details/11089903,270177024,894048.69,2376018,2028-07-31,2025-07-21,TRUE,TRUE,TRUE,391614.68999999994,1.7794350899819678,428788.56,228080.56,76438.05,809306,98952,0,8,21,,unitid:126614,F,TRUE,TRUE
nih,3R01AI165560-04S1,ASST_NON_R01AI165560_7529,University of South Carolina,South Carolina,University of South Carolina-Columbia,South Carolina,Columbia,Public,218663,2137358,1059594,3196952,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI165560_7529,https://reporter.nih.gov/project-details/11091679,270148170,2694251.78,3914766,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,556893.7799999998,1.2605524109671846,580902.24,359888.68,81643.94,717814,717814,0,8,47,,unitid:218663,F,TRUE,TRUE
nih,3R01MD017588-03S1,ASST_NON_R01MD017588_7529,University of Miami Coral Gables,Florida,,,,,,1071773,1022463,2094236,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01MD017588_7529,https://reporter.nih.gov/project-details/11207198,270238514,1676046.95,2749092,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,604273.95,1.5638077745940604,691008.98,301626.8399999999,176410.64,654856,60552,594304,11,29,,university of miami coral gables|florida,F,TRUE,TRUE
nih,3R01MH132022-03S1,ASST_NON_R01MH132022_7529,Vanderbilt University Medical Center,Tennessee,,,,,,1372204,1016988,2389192,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH132022_7529,https://reporter.nih.gov/project-details/11218703,270244696,1789768.04,3270678,2027-12-31,2026-02-20,TRUE,TRUE,TRUE,417564.04000000004,1.3043017219014084,560184.8300000001,278060.97000000003,91213.66000000002,881486,0,765144,10,32,,vanderbilt university medical center|tennessee,F,TRUE,TRUE
nih,3R01MH129634-03S1,ASST_NON_R01MH129634_7529,Vanderbilt University,Tennessee,Vanderbilt University,Tennessee,Nashville,Private not-for-profit,221999,2118693,998162,3116855,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01MH129634_7529,https://reporter.nih.gov/project-details/10916732,270244474,2439400.66,3949328,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,320707.66000000015,1.1513705194664825,409381.7099999999,157909.04,186336.31999999998,832473,111699,720774,12,40,,unitid:221999,F,TRUE,TRUE
nih,3R01AG075654-03S1,ASST_NON_R01AG075654_7529,Rensselaer Polytechnic Institute,New York,Rensselaer Polytechnic Institute,New York,Troy,Private not-for-profit,194824,1461386,993814,2455200,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG075654_7529,https://reporter.nih.gov/project-details/11076434,270136961,1875159.66,2500180,2027-04-30,2025-06-20,TRUE,TRUE,TRUE,413773.6599999999,1.2831378294304174,413773.8,246496.05999999997,79705.94,44980,0,0,8,37,,unitid:194824,F,TRUE,TRUE
nih,3R01DE031299-02S1,ASST_NON_R01DE031299_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1177498,980270,2157768,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01DE031299_7529,https://reporter.nih.gov/project-details/10988924,270181791,1806207.69,2787801,2027-12-31,2026-02-20,TRUE,TRUE,TRUE,628709.69,1.533936949362122,706604.3200000001,327076.89,238943.47000000003,700037,0,630033,8,32,,unitid:215293,F,TRUE,TRUE
