agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01AG075818-04S1,ASST_NON_R01AG075818_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,841555.19,5570174.47,6411729.66,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01AG075818_7529,https://reporter.nih.gov/project-details/11124291,270136979,2049677.16,7060533,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,1208121.97,2.435582578963122,956158.92,502751.82000000007,178349.05000000002,1284306,104841,0,20,48,,unitid:170976,C_high,TRUE,TRUE,TRUE
nih,3P50MD017348-04S1,ASST_NON_P50MD017348_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,13821522,5106035,18927557,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_P50MD017348_7529,https://reporter.nih.gov/project-details/10939514,270012663,17064379.05,24163298,2026-06-30,2025-08-20,TRUE,TRUE,TRUE,3242857.0500000007,1.2346237302954046,4626024.78,1900123.0200000003,1085106.6,5235741,5235741,0,15,47,,unitid:162928,C_high,TRUE,TRUE,TRUE
nih,3U19AI089992-13S1,ASST_NON_U19AI089992_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,6871585.78,3972903.36,10844489.14,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_U19AI089992_7529,https://reporter.nih.gov/project-details/11163641,271684790,16616260.36,45502782.9,2028-04-30,2026-03-20,TRUE,TRUE,TRUE,9744674.579999998,2.4181114653857962,2303517.2399999998,1796776.15,506741.08999999997,2388688,0,0,62,97,,unitid:130794,C_high,TRUE,TRUE,TRUE
nih,3UM1TR004360-02S2,ASST_NON_UM1TR004360_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,5861628,2509370,8370998,2025-05-15,,https://www.usaspending.gov/award/ASST_NON_UM1TR004360_7529,https://reporter.nih.gov/project-details/10929735,271712237,9483719.79,12325812,2030-04-30,2025-07-21,TRUE,TRUE,TRUE,3622091.789999999,1.617932729610272,3718230.83,3111625.4800000004,606605.3500000001,3954814,3954814,0,10,30,,unitid:234030,C_high,TRUE,TRUE,TRUE
nih,3P01CA257904-03S1,ASST_NON_P01CA257904_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,7123918,2312831,9436749,2025-04-30,,https://www.usaspending.gov/award/ASST_NON_P01CA257904_7529,https://reporter.nih.gov/project-details/10973801,269407249,8959413.74,11596604,2027-01-31,2026-02-20,TRUE,TRUE,TRUE,1835495.7400000002,1.2576525642209806,1940657.8399999999,1526134.79,414523.05000000005,2159855,0,2159855,11,44,,unitid:215062,C_high,TRUE,TRUE,TRUE
nih,3R01MD018204-03S2,ASST_NON_R01MD018204_7529,New York University School of Medicine,New York,New York University,New York,New York,Private not-for-profit,193900,4852526,2208855,7061381,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD018204_7529,https://reporter.nih.gov/project-details/10939423,270238557,5773032.07,7061381,2027-04-30,2025-08-06,TRUE,TRUE,TRUE,920506.0700000003,1.1896962674697673,1370877.52,688584.05,469612.43,1616079,0,0,14,46,,unitid:193900,C_high,TRUE,TRUE,TRUE
nih,3R01DA050670-04S2,ASST_NON_R01DA050670_7529,Baylor University,Texas,Baylor University,Texas,Waco,Private not-for-profit,223232,1613425,2180559,3793984,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_R01DA050670_7529,https://reporter.nih.gov/project-details/11062619,270176422,3015330.56,3793984,2027-03-31,2026-01-20,TRUE,TRUE,TRUE,1401905.56,1.8689003579342083,1413108.5399999998,1160600.6099999999,252507.93,757751,0,0,13,45,,unitid:223232,C_high,TRUE,TRUE,TRUE
nih,3UL1TR001857-09S1,ASST_NON_UL1TR001857_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,39371469,2090222,41461691,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_UL1TR001857_7529,https://reporter.nih.gov/project-details/10928374,271711804,46108897.97,128797340.31,2026-05-31,2025-12-19,TRUE,TRUE,TRUE,6737428.969999999,1.171124652981579,7296909.619999999,5106265.16,1579985.66,10147484,10147484,0,45,105,,unitid:215293,C_high,TRUE,TRUE,TRUE
nih,3DP1MH132709-03S1,ASST_NON_DP1MH132709_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,3217024,1395140,4612164,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_DP1MH132709_7529,https://reporter.nih.gov/project-details/11085649,260415853,4132483.43,4612164,2027-05-31,2025-05-05,TRUE,TRUE,TRUE,915459.4300000002,1.2845671745066247,986941.95,474856.67999999993,256108.99000000002,1127000,0,0,9,48,,unitid:198419,C_high,TRUE,TRUE,TRUE
nih,3R01AG058066-04S1,ASST_NON_R01AG058066_7529,Case Western Reserve University,Ohio,Case Western Reserve University,Ohio,Cleveland,Private not-for-profit,201645,3497825,1337631,4835456,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG058066_7529,https://reporter.nih.gov/project-details/11081365,270135176,4889049.8,6389146.1,2027-05-31,2025-07-21,TRUE,TRUE,TRUE,1391224.7999999998,1.39773996697948,1566015.7999999998,779558.8999999999,447676.98999999993,1545583,1545583,0,7,38,,unitid:201645,C_high,TRUE,TRUE,TRUE
