unitid,institution_name,state,reason
120184,Notre Dame de Namur University,California,accreditation_action
112084,San Diego Christian College,California,accreditation_action
418126,New York College of Health Professions,New York,accreditation_action
112570,California College of ASU,California,accreditation_action
201964,Ohio Christian University,Ohio,accreditation_action
152099,Oakland City University,Indiana,existing_cut
168847,Baker College,Michigan,accreditation_action
231095,Sterling College,Vermont,accreditation_action;existing_cut
155520,MidAmerica Nazarene University,Kansas,accreditation_action
162210,Washington Adventist University,Maryland,accreditation_action
177065,Columbia College,Missouri,accreditation_action
214971,Pennsylvania Academy of the Fine Arts,Pennsylvania,accreditation_action
205027,Pontifical College Josephinum,Ohio,accreditation_action
189228,Berkeley College-New York,New York,accreditation_action
179265,University of Health Sciences and Pharmacy in St. Louis,Missouri,accreditation_action
178721,Park University,Missouri,accreditation_action
201104,Ashland University,Ohio,accreditation_action
146755,Trinity College of Nursing & Health Sciences,Illinois,accreditation_action
165644,Eastern Nazarene College,Massachusetts,accreditation_action;existing_cut
107071,Henderson State University,Arkansas,accreditation_action
178989,Research College of Nursing,Missouri,accreditation_action
145619,Benedictine University,Illinois,accreditation_action
127918,Regis University,Colorado,accreditation_action
217235,Johnson & Wales University-Providence,Rhode Island,existing_cut
162654,Goucher College,Maryland,accreditation_action
172608,Walsh College,Michigan,accreditation_action
221953,Tusculum University,Tennessee,accreditation_action
207856,Southwestern Christian University,Oklahoma,accreditation_action
154855,Central Christian College of Kansas,Kansas,accreditation_action
194569,Davis College,New York,accreditation_action
176789,Calvary University,Missouri,accreditation_action
181604,College of Saint Mary,Nebraska,accreditation_action
177542,Hannibal-LaGrange University,Missouri,accreditation_action
151324,Indiana State University,Indiana,existing_cut
108232,Academy of Art University,California,accreditation_action
166018,Hampshire College,Massachusetts,accreditation_action;existing_cut
149505,Trinity Christian College,Illinois,accreditation_action;existing_cut
147129,Methodist College,Illinois,accreditation_action
178615,Truman State University,Missouri,accreditation_action
204176,Mount Carmel College of Nursing,Ohio,accreditation_action
227331,Our Lady of the Lake University,Texas,existing_cut
106306,Arkansas Baptist College,Arkansas,accreditation_action
177418,Fontbonne University,Missouri,accreditation_action;existing_cut
238078,Wheeling University,West Virginia,accreditation_action
190114,Metropolitan College of New York,New York,accreditation_action
123572,Sonoma State University,California,accreditation_action;existing_cut
204617,Ohio Dominican University,Ohio,accreditation_action
147828,Olivet Nazarene University,Illinois,accreditation_action
179326,Southwest Baptist University,Missouri,accreditation_action
177083,Conception Seminary College,Missouri,accreditation_action
127741,University of Northern Colorado,Colorado,accreditation_action;existing_cut
213367,La Salle University,Pennsylvania,accreditation_action
197045,Utica University,New York,accreditation_action
188641,Alfred University,New York,accreditation_action;existing_cut
161873,University of Baltimore,Maryland,accreditation_action
188526,Albany College of Pharmacy and Health Sciences,New York,accreditation_action
172334,Spring Arbor University,Michigan,accreditation_action
174251,University of Minnesota-Morris,Minnesota,accreditation_action
165866,Framingham State University,Massachusetts,accreditation_action
109785,Azusa Pacific University,California,accreditation_action
169248,Central Michigan University,Michigan,accreditation_action
168786,Aquinas College,Michigan,accreditation_action
177551,Harris-Stowe State University,Missouri,accreditation_action
192271,LIM College,New York,accreditation_action
137032,Saint Leo University,Florida,accreditation_action
199069,University of Mount Olive,North Carolina,accreditation_action
199306,Pfeiffer University,North Carolina,accreditation_action
210669,Allegheny College,Pennsylvania,accreditation_action
214883,Peirce College,Pennsylvania,accreditation_action
192192,Keuka College,New York,accreditation_action
117627,La Sierra University,California,accreditation_action
169983,Kettering University,Michigan,accreditation_action
164216,Washington College,Maryland,accreditation_action
154493,Upper Iowa University,Iowa,accreditation_action
206604,Wright State University-Main Campus,Ohio,accreditation_action;existing_cut
179894,Webster University,Missouri,accreditation_action;existing_cut
132602,Bethune-Cookman University,Florida,accreditation_action
212832,Gwynedd Mercy University,Pennsylvania,accreditation_action
147776,Northeastern Illinois University,Illinois,accreditation_action
206525,Wittenberg University,Ohio,accreditation_action;existing_cut
219718,Bethel University,Tennessee,accreditation_action
189413,Boricua College,New York,accreditation_action
169479,Davenport University,Michigan,accreditation_action
203775,Malone University,Ohio,accreditation_action
123554,Saint Mary's College of California,California,accreditation_action
153834,Luther College,Iowa,accreditation_action
172033,Sacred Heart Major Seminary,Michigan,accreditation_action
196167,SUNY College at Geneseo,New York,accreditation_action
181020,Doane University,Nebraska,accreditation_action;existing_cut
155900,Southwestern College,Kansas,accreditation_action
125897,Woodbury University,California,accreditation_action
150455,Earlham College,Indiana,accreditation_action;existing_cut
190983,Elmira College,New York,accreditation_action
147369,Moody Bible Institute,Illinois,accreditation_action;existing_cut
200800,University of Akron Main Campus,Ohio,accreditation_action;existing_cut
187046,Thomas Edison State University,New Jersey,accreditation_action
196158,SUNY at Fredonia,New York,existing_cut
169798,Eastern Michigan University,Michigan,accreditation_action
151810,Martin University,Indiana,accreditation_action;existing_cut
130989,Goldey-Beacom College,Delaware,accreditation_action
